1531;61072
61072;81344
81344;52488
52488;62021
62021;45488
45488;44109
44109;36523
36523;77430
77430;34930
34930;2023
2023;29883
29883;35583
35583;56939
56939;56673
56673;26781
26781;21914
21914;75497
75497;51175
51175;50286
50286;62996
62996;29256
29256;60664
60664;47416
47416;40707
40707;99057
99057;8521
8521;23278
23278;91153
91153;41816
41816;49652
49652;80026
80026;66110
66110;72724
72724;99258
99258;51219
51219;96581
96581;84235
84235;18918
18918;11354
11354;20250
20250;96343
96343;65534
65534;28732
28732;83241
83241;38545
38545;77845
77845;4211
4211;68297
68297;65013
65013;7636
7636;70257
70257;88295
88295;13031
13031;92076
92076;72275
72275;407
407;33927
33927;11781
11781;62964
62964;36966
36966;20831
20831;45369
45369;35613
35613;85277
85277;21996
21996;63772
63772;62859
62859;57681
57681;5453
5453;30200
30200;37678
37678;56579
56579;39821
39821;30035
30035;66652
66652;63721
63721;31932
31932;64175
64175;2162
2162;21212
21212;4309
4309;54980
54980;26140
26140;34179
34179;79395
79395;91730
91730;53078
53078;80647
80647;26982
26982;50811
50811;62653
62653;72454
72454;55954
55954;74387
74387;99419
99419;50974
50974;29921
29921;43454
43454;61244
61244;74772
74772;14985
14985;46530
46530;62844
62844;34812
34812;69958
69958;13678
13678;48474
48474;82995
82995;25424
25424;8553
8553;68475
68475;69752
69752;9619
9619;41752
41752;32656
32656;65851
65851;19228
19228;1433
1433;5882
5882;30266
30266;10693
10693;82211
82211;30698
30698;54642
54642;67546
67546;65224
65224;624
624;65433
65433;30616
30616;15678
15678;33800
33800;88477
88477;2930
2930;27389
27389;6226
6226;57779
57779;92136
92136;91328
91328;64221
64221;65716
65716;43256
43256;70083
70083;55223
55223;18428
18428;82336
82336;92901
92901;62835
62835;14202
14202;41731
41731;33568
33568;31745
31745;28487
28487;37571
37571;30978
30978;64078
64078;32774
32774;15831
15831;8202
8202;67266
67266;4734
4734;13053
13053;83041
83041;52378
52378;9745
9745;74753
74753;79997
79997;66821
66821;82229
82229;35525
35525;74876
74876;73714
73714;27900
27900;37211
37211;40166
40166;87009
87009;40610
40610;26988
26988;12269
12269;72305
72305;74644
74644;2389
2389;86422
86422;23701
23701;97048
97048;83932
83932;5312
5312;50906
50906;71952
71952;63310
63310;73452
73452;41948
41948;83934
83934;24061
24061;59487
59487;52662
52662;60215
60215;17704
17704;45477
45477;43675
43675;2338
2338;26080
26080;80605
80605;78676
78676;66854
66854;59853
59853;3845
3845;91275
91275;97405
97405;43968
43968;23468
23468;5785
5785;3561
3561;35896
35896;92621
92621;2345
2345;26631
26631;59339
59339;55330
55330;25812
25812;69441
69441;29091
29091;94868
94868;18918
18918;62073
62073;32928
32928;89780
89780;3838
3838;77724
77724;87503
87503;26794
26794;22905
22905;81510
81510;68594
68594;69967
69967;48563
48563;21783
21783;7746
7746;56847
56847;37195
37195;80087
80087;14036
14036;53500
53500;27983
27983;39841
39841;67666
67666;38386
38386;48038
48038;31440
31440;57142
57142;26031
26031;875
875;62374
62374;19665
19665;74233
74233;73246
73246;31212
31212;61686
61686;16602
16602;33925
33925;70073
70073;6
6;13551
13551;9902
9902;17174
17174;563
563;24275
24275;34967
34967;65928
65928;44057
44057;80561
80561;18884
18884;2492
2492;18135
18135;45724
45724;55404
55404;75590
75590;66884
66884;79076
79076;94406
94406;94542
94542;41742
41742;72398
72398;20581
20581;61471
61471;25918
25918;60531
60531;61845
61845;94360
94360;96720
96720;17351
17351;60096
60096;91143
91143;22921
22921;67122
67122;80081
80081;485
485;43598
43598;10809
10809;39278
39278;43390
43390;3418
3418;82109
82109;87382
87382;76581
76581;7146
7146;98383
98383;44239
44239;73940
73940;18828
18828;97656
97656;64327
64327;82609
82609;22196
22196;39383
39383;28330
28330;27608
27608;92969
92969;48430
48430;91255
91255;40031
40031;62430
62430;40606
40606;69207
69207;26706
26706;20464
20464;27741
27741;79570
79570;51013
51013;65643
65643;54919
54919;31992
31992;56075
56075;39798
39798;51015
51015;91124
91124;59632
59632;85015
85015;44000
44000;54325
54325;27535
27535;16291
16291;87904
87904;75532
75532;99064
99064;53024
53024;77486
77486;68947
68947;83538
83538;38791
38791;52472
52472;7515
7515;95168
95168;19553
19553;99246
99246;80960
80960;62812
62812;12901
12901;60676
60676;56116
56116;79405
79405;18812
18812;93226
93226;8296
8296;63909
63909;65663
65663;8252
8252;42811
42811;71180
71180;48259
48259;68698
68698;42592
42592;48968
48968;94105
94105;63720
63720;23739
23739;74525
74525;65074
65074;70143
70143;73681
73681;42977
42977;58794
58794;96032
96032;12221
12221;13170
13170;47403
47403;36824
36824;36521
36521;40551
40551;70055
70055;28311
28311;46730
46730;24338
24338;87884
87884;74920
74920;8722
8722;23065
23065;79607
79607;11622
11622;33401
33401;44772
44772;34675
34675;97767
97767;35279
35279;70092
70092;9880
9880;58547
58547;1063
1063;55833
55833;75506
75506;6434
6434;97737
97737;42758
42758;86994
86994;13138
13138;20610
20610;22780
22780;81004
81004;95126
95126;16506
16506;28839
28839;71730
71730;2260
2260;1124
1124;19947
19947;21967
21967;18253
18253;61084
61084;19184
19184;54998
54998;674
674;94917
94917;53452
53452;36742
36742;28909
28909;8302
8302;61027
61027;60753
60753;42129
42129;3290
3290;88856
88856;35760
35760;80688
80688;65044
65044;63620
63620;30573
30573;3972
3972;37344
37344;74746
74746;54309
54309;85942
85942;42061
42061;84481
84481;95116
95116;4561
4561;73041
73041;32415
32415;96642
96642;15331
15331;48124
48124;91626
91626;97462
97462;81878
81878;835
835;74832
74832;11517
11517;44285
44285;6016
6016;58084
58084;4835
4835;59583
59583;62026
62026;38874
38874;91835
91835;27649
27649;93078
93078;91042
91042;37215
37215;37504
37504;89373
89373;17995
17995;80909
80909;86338
86338;64875
64875;69055
69055;58612
58612;10435
10435;58336
58336;32180
32180;55868
55868;75887
75887;64384
64384;45421
45421;94004
94004;11664
11664;91393
91393;53882
53882;79853
79853;90212
90212;52103
52103;86288
86288;97955
97955;79259
79259;69910
69910;94725
94725;23915
23915;3186
3186;92646
92646;67466
67466;11482
11482;81999
81999;95200
95200;59138
59138;25958
25958;30128
30128;10716
10716;11124
11124;17002
17002;31779
31779;16219
16219;1081
1081;85949
85949;73835
73835;2216
2216;28948
28948;95199
95199;16604
16604;44870
44870;80171
80171;36256
36256;39195
39195;11188
11188;47002
47002;85400
85400;3085
3085;20040
20040;1650
1650;16427
16427;70150
70150;45140
45140;55426
55426;17789
17789;90870
90870;20697
20697;73869
73869;80686
80686;5246
5246;19463
19463;63875
63875;947
947;80268
80268;36880
36880;48074
48074;73992
73992;51022
51022;338
338;24119
24119;77042
77042;40961
40961;99526
99526;7310
7310;58315
58315;12474
12474;31209
31209;72287
72287;70810
70810;48197
48197;73737
73737;22873
22873;10088
10088;9066
9066;94697
94697;46851
46851;86638
86638;60792
60792;83291
83291;95079
95079;53138
53138;28347
28347;48261
48261;89952
89952;97141
97141;80994
80994;79223
79223;55987
55987;2315
2315;63114
63114;73010
73010;34378
34378;2746
2746;95920
95920;24607
24607;75466
75466;70624
70624;37829
37829;97110
97110;5314
5314;59660
59660;48410
48410;3058
3058;32489
32489;31509
31509;96590
96590;53786
53786;91881
91881;85571
85571;90028
90028;61435
61435;13199
13199;67730
67730;5258
5258;70981
70981;48695
48695;92699
92699;9574
9574;10169
10169;77321
77321;33251
33251;75221
75221;69971
69971;7695
7695;75187
75187;39358
39358;20126
20126;14168
14168;84458
84458;19230
19230;76227
76227;48809
48809;63682
63682;77976
77976;35419
35419;4727
4727;25288
25288;15772
15772;58442
58442;551
551;27207
27207;87342
87342;70416
70416;12286
12286;1679
1679;59810
59810;66647
66647;97487
97487;24938
24938;75912
75912;82766
82766;61050
61050;27660
27660;19789
